100,477,
VM,I,F,N,CPU,Memory,Links
1,1,1,16,8,16,1,
2,1,1,122,4,122,1,
3,1,1,72,36,72,1,
4,2,2,4,2,4,1,
5,2,2,4,2,4,1,
6,2,2,16,4,16,1,
7,2,2,16,8,16,1,
8,2,2,122,16,122,1,
9,2,2,16,4,16,1,
10,2,2,64,16,64,1,
11,3,27,8,2,8,1,
12,3,54,4,2,4,1,
13,3,3,8,4,8,1,
14,3,3,16,4,16,1,
15,3,10,4,2,4,1,
16,3,3,16,8,16,1,
17,3,55,4,2,4,1,
18,4,4,16,4,16,1,
19,4,4,8,4,8,1,
20,4,4,8,4,8,1,
21,4,4,16,4,16,1,
22,4,4,8,4,8,1,
23,4,4,4,2,4,1,
24,4,4,8,4,8,1,
25,5,5,64,16,64,1,
26,5,5,4,2,4,1,
27,5,5,8,4,8,1,
28,5,5,8,4,8,1,
29,6,6,122,16,122,1,
30,6,19,8,4,8,1,
31,6,6,64,16,64,1,
32,6,6,16,4,16,1,
33,6,6,64,16,64,1,
34,6,6,72,36,72,1,
35,7,7,244,8,244,1,
36,7,7,192,48,192,1,
37,7,7,122,4,122,1,
38,7,7,16,4,16,1,
39,7,7,16,4,16,1,
40,7,7,72,36,72,1,
41,8,8,16,8,16,1,
42,8,8,64,16,64,1,
43,9,9,16,8,16,1,
44,9,9,244,8,244,1,
45,9,9,8,2,8,1,
46,9,9,244,8,244,1,
47,9,9,8,4,8,1,
48,9,58,4,2,4,1,
49,9,9,8,4,8,1,
50,9,9,8,4,8,1,
51,9,9,8,4,8,1,
52,9,9,122,4,122,1,
53,10,10,244,8,244,1,
54,11,11,244,8,244,1,
55,11,11,8,4,8,1,
56,11,11,4,2,4,1,
57,11,11,16,4,16,1,
58,11,11,244,8,244,1,
59,11,11,244,8,244,1,
60,12,55,64,16,64,1,
61,12,12,244,8,244,1,
62,12,77,32,8,32,1,
63,12,99,8,4,8,1,
64,12,30,8,4,8,1,
65,12,12,64,16,64,1,
66,13,13,122,4,122,1,
67,14,14,64,16,64,1,
68,14,2,8,4,8,1,
69,14,14,64,16,64,1,
70,14,34,8,2,8,1,
71,14,10,8,4,8,1,
72,14,14,16,4,16,1,
73,15,15,64,16,64,1,
74,15,15,244,8,244,1,
75,15,15,32,8,32,1,
76,15,15,8,4,8,1,
77,15,15,122,4,122,1,
78,16,16,16,4,16,1,
79,16,16,244,8,244,1,
80,16,16,32,8,32,1,
81,16,16,16,4,16,1,
82,16,16,122,16,122,1,
83,17,17,4,2,4,1,
84,17,17,122,4,122,1,
85,17,17,256,64,256,1,
86,18,18,64,16,64,1,
87,18,18,8,4,8,1,
88,18,18,16,4,16,1,
89,19,19,122,4,122,1,
90,19,19,8,2,8,1,
91,19,19,8,2,8,1,
92,19,19,244,8,244,1,
93,19,19,256,64,256,1,
94,20,20,8,2,8,1,
95,20,20,72,36,72,1,
96,20,20,16,4,16,1,
97,20,20,244,8,244,1,
98,20,20,4,2,4,1,
99,20,20,122,16,122,1,
100,21,21,488,16,488,1,
101,21,21,122,16,122,1,
102,21,21,122,4,122,1,
103,22,22,122,4,122,1,
104,22,22,8,4,8,1,
105,22,22,8,2,8,1,
106,22,22,192,48,192,1,
107,22,22,16,8,16,1,
108,22,67,4,2,4,1,
109,22,22,244,8,244,1,
110,22,22,8,4,8,1,
111,22,22,64,16,64,1,
112,23,23,64,16,64,1,
113,23,23,8,2,8,1,
114,23,23,72,36,72,1,
115,24,24,122,4,122,1,
116,24,24,256,64,256,1,
117,24,24,8,4,8,1,
118,24,24,16,8,16,1,
119,24,24,32,8,32,1,
120,24,24,122,16,122,1,
121,25,25,16,4,16,1,
122,25,25,16,8,16,1,
123,25,25,244,8,244,1,
124,25,25,122,4,122,1,
125,25,25,16,4,16,1,
126,26,55,8,4,8,1,
127,26,26,72,36,72,1,
128,26,53,8,4,8,1,
129,26,78,4,2,4,1,
130,27,27,16,4,16,1,
131,27,27,16,8,16,1,
132,27,27,8,4,8,1,
133,27,27,8,2,8,1,
134,27,27,244,8,244,1,
135,27,27,122,4,122,1,
136,27,27,64,16,64,1,
137,27,27,8,4,8,1,
138,27,27,72,36,72,1,
139,27,27,8,4,8,1,
140,28,28,16,8,16,1,
141,28,28,16,4,16,1,
142,28,28,64,16,64,1,
143,28,28,192,48,192,1,
144,29,29,244,8,244,1,
145,30,30,16,8,16,1,
146,30,30,64,16,64,1,
147,31,31,64,16,64,1,
148,31,31,64,16,64,1,
149,31,31,16,8,16,1,
150,31,31,32,8,32,1,
151,32,32,32,8,32,1,
152,32,32,64,16,64,1,
153,32,32,64,16,64,1,
154,32,32,8,4,8,1,
155,32,32,16,4,16,1,
156,33,33,8,2,8,1,
157,33,33,8,4,8,1,
158,33,33,8,4,8,1,
159,33,33,64,16,64,1,
160,34,34,32,8,32,1,
161,34,34,8,2,8,1,
162,34,34,16,8,16,1,
163,34,34,16,4,16,1,
164,34,34,8,4,8,1,
165,35,35,8,2,8,1,
166,35,35,32,8,32,1,
167,35,35,64,16,64,1,
168,35,35,122,16,122,1,
169,35,35,122,16,122,1,
170,35,35,192,48,192,1,
171,36,36,16,8,16,1,
172,36,36,8,4,8,1,
173,36,36,8,4,8,1,
174,36,36,8,2,8,1,
175,36,36,244,8,244,1,
176,36,36,192,48,192,1,
177,37,42,8,4,8,1,
178,37,73,122,4,122,1,
179,37,64,8,2,8,1,
180,37,96,16,4,16,1,
181,37,42,4,2,4,1,
182,37,42,16,8,16,1,
