50,214,
VM,I,F,N,CPU,Memory,Links
1,1,10,8,2,8,1,
2,1,2,192,48,192,1,
3,1,29,122,4,122,1,
4,1,29,16,8,16,1,
5,1,10,16,8,16,1,
6,2,2,244,8,244,1,
7,2,2,64,16,64,1,
8,2,2,8,4,8,1,
9,2,2,244,8,244,1,
10,3,3,8,4,8,1,
11,3,3,8,4,8,1,
12,3,3,4,2,4,1,
13,3,3,8,4,8,1,
14,3,3,8,2,8,1,
15,3,3,8,4,8,1,
16,4,4,4,2,4,1,
17,4,4,4,2,4,1,
18,4,4,16,4,16,1,
19,4,4,8,4,8,1,
20,4,4,32,8,32,1,
21,5,5,64,16,64,1,
22,5,5,32,8,32,1,
23,5,5,64,16,64,1,
24,6,17,32,8,32,1,
25,6,17,64,16,64,1,
26,6,15,8,4,8,1,
27,6,17,32,8,32,1,
28,7,7,16,4,16,1,
29,7,7,64,16,64,1,
30,8,8,72,36,72,1,
31,8,7,16,4,16,1,
32,8,10,244,8,244,1,
33,9,32,64,16,64,1,
34,9,32,122,16,122,1,
35,9,36,72,36,72,1,
36,10,10,32,8,32,1,
37,10,10,4,2,4,1,
38,10,10,16,4,16,1,
39,10,10,64,16,64,1,
40,10,10,32,8,32,1,
41,10,10,64,16,64,1,
42,11,11,64,16,64,1,
43,11,11,8,2,8,1,
44,11,11,8,2,8,1,
45,11,11,16,8,16,1,
46,11,11,122,4,122,1,
47,11,11,122,16,122,1,
48,12,12,16,4,16,1,
49,12,12,16,8,16,1,
50,12,12,16,8,16,1,
51,12,12,16,8,16,1,
52,12,12,8,2,8,1,
53,12,12,122,4,122,1,
54,13,42,4,2,4,1,
55,13,15,16,8,16,1,
56,13,15,8,2,8,1,
57,13,42,64,16,64,1,
58,13,15,8,2,8,1,
59,13,14,16,8,16,1,
60,14,14,8,4,8,1,
61,14,14,16,4,16,1,
62,14,14,122,16,122,1,
63,14,14,4,2,4,1,
64,14,14,4,2,4,1,
65,15,15,16,4,16,1,
66,15,15,72,36,72,1,
67,16,11,122,16,122,1,
