50,189,
VM,I,F,N,CPU,Memory,Links
1,1,24,122,16,122,1,
2,1,21,192,48,192,1,
3,1,2,8,2,8,1,
4,1,8,16,4,16,1,
5,2,16,32,8,32,1,
6,2,1,16,4,16,1,
7,2,20,244,8,244,1,
8,2,11,32,8,32,1,
9,3,11,64,16,64,1,
10,3,10,16,4,16,1,
11,3,11,8,4,8,1,
12,3,8,4,2,4,1,
13,3,7,122,4,122,1,
14,3,10,122,16,122,1,
15,4,10,122,4,122,1,
16,4,12,16,8,16,1,
17,4,3,16,4,16,1,
18,5,10,72,36,72,1,
19,5,10,122,16,122,1,
20,6,17,16,8,16,1,
21,6,4,8,4,8,1,
22,6,15,16,8,16,1,
23,6,10,8,4,8,1,
24,6,5,8,4,8,1,
25,6,8,8,4,8,1,
26,6,4,122,4,122,1,
27,6,10,16,8,16,1,
28,6,3,4,2,4,1,
29,6,21,64,16,64,1,
30,7,17,72,36,72,1,
31,7,2,8,4,8,1,
32,7,19,64,16,64,1,
33,8,5,122,4,122,1,
34,8,12,72,36,72,1,
35,9,22,64,16,64,1,
36,9,1,8,2,8,1,
37,9,20,16,8,16,1,
38,9,6,8,2,8,1,
39,9,2,64,16,64,1,
40,9,8,4,2,4,1,
41,9,8,8,4,8,1,
42,10,17,16,8,16,1,
43,10,17,122,4,122,1,
44,10,18,256,64,256,1,
45,11,1,16,8,16,1,
46,11,28,256,64,256,1,
47,12,22,72,36,72,1,
48,12,11,64,16,64,1,
49,12,4,16,4,16,1,
50,12,22,122,16,122,1,
51,13,2,8,2,8,1,
52,13,6,16,4,16,1,
53,13,1,4,2,4,1,
54,13,14,32,8,32,1,
55,13,2,8,4,8,1,
56,14,8,32,8,32,1,
57,14,1,4,2,4,1,
58,14,1,4,2,4,1,
59,14,3,8,4,8,1,
60,14,3,4,2,4,1,
61,15,6,4,2,4,1,
62,15,7,122,16,122,1,
63,15,1,4,2,4,1,
64,15,2,16,4,16,1,
65,15,1,16,4,16,1,
66,16,4,8,2,8,1,
67,16,12,64,16,64,1,
68,17,7,32,8,32,1,
69,17,8,122,16,122,1,
70,18,1,244,8,244,1,
71,18,1,32,8,32,1,
72,18,12,122,4,122,1,
73,19,2,16,4,16,1,
74,19,6,8,4,8,1,
75,19,5,8,2,8,1,
76,19,3,4,2,4,1,
77,19,1,16,4,16,1,
78,19,1,16,4,16,1,
79,20,3,122,16,122,1,
80,20,22,122,16,122,1,
81,20,1,64,16,64,1,
82,20,6,122,4,122,1,
83,20,5,4,2,4,1,
84,20,11,64,16,64,1,
85,21,32,488,16,488,1,
86,22,9,244,8,244,1,
87,22,7,16,8,16,1,
88,22,8,16,4,16,1,
89,22,6,8,2,8,1,
90,22,7,32,8,32,1,
91,22,3,4,2,4,1,
92,22,12,64,16,64,1,
93,22,2,4,2,4,1,
94,22,27,122,16,122,1,
95,23,5,16,8,16,1,
96,23,9,32,8,32,1,
97,23,6,4,2,4,1,
98,24,1,4,2,4,1,
99,24,1,8,2,8,1,
100,24,5,16,4,16,1,
101,24,9,4,2,4,1,
102,24,6,8,4,8,1,
103,24,2,8,2,8,1,
104,24,3,8,4,8,1,
105,25,5,244,8,244,1,
106,25,7,8,2,8,1,
107,25,2,16,8,16,1,
108,25,15,122,16,122,1,
109,26,2,8,2,8,1,
110,26,32,16,8,16,1,
111,26,10,8,4,8,1,
112,26,31,8,2,8,1,
113,26,5,8,4,8,1,
114,27,3,64,16,64,1,
115,27,2,8,2,8,1,
116,28,7,64,16,64,1,
117,28,11,244,8,244,1,
118,29,3,32,8,32,1,
119,29,1,16,8,16,1,
120,29,6,16,4,16,1,
121,30,21,64,16,64,1,
122,30,2,8,4,8,1,
123,31,32,8,4,8,1,
124,31,20,72,36,72,1,
125,31,20,244,8,244,1,
126,32,1,16,8,16,1,
127,32,6,16,8,16,1,
128,32,9,72,36,72,1,
129,33,9,32,8,32,1,
130,33,22,122,16,122,1,
131,34,1,64,16,64,1,
132,34,6,8,4,8,1,
133,34,3,122,4,122,1,
134,35,11,16,8,16,1,
135,35,7,32,8,32,1,
136,35,10,8,4,8,1,
137,36,4,8,4,8,1,
138,36,8,8,4,8,1,
139,36,10,4,2,4,1,
140,36,10,4,2,4,1,
141,36,11,16,8,16,1,
142,37,4,72,36,72,1,
