50,208,
VM,I,F,N,CPU,Memory,Links
1,1,39,16,4,16,1,
2,1,5,8,2,8,1,
3,1,13,16,8,16,1,
4,1,5,8,4,8,1,
5,2,15,8,2,8,1,
6,2,5,8,2,8,1,
7,2,11,4,2,4,1,
8,2,34,32,8,32,1,
9,2,14,4,2,4,1,
10,2,4,8,2,8,1,
11,3,29,192,48,192,1,
12,3,16,72,36,72,1,
13,4,26,72,36,72,1,
14,4,5,8,2,8,1,
15,4,26,244,8,244,1,
16,4,1,4,2,4,1,
17,4,24,64,16,64,1,
18,4,6,32,8,32,1,
19,5,6,16,8,16,1,
20,5,22,192,48,192,1,
21,6,16,122,16,122,1,
22,6,29,488,16,488,1,
23,7,3,8,2,8,1,
24,7,9,8,4,8,1,
25,7,42,32,8,32,1,
26,7,16,16,8,16,1,
27,8,1,16,4,16,1,
28,8,20,32,8,32,1,
29,8,36,16,4,16,1,
30,8,11,8,2,8,1,
31,9,11,32,8,32,1,
32,9,15,32,8,32,1,
33,9,4,16,4,16,1,
34,10,36,16,8,16,1,
35,10,27,32,8,32,1,
36,10,17,8,4,8,1,
37,11,15,8,4,8,1,
38,11,3,122,16,122,1,
39,11,13,32,8,32,1,
40,11,7,16,8,16,1,
41,11,13,4,2,4,1,
42,11,16,122,4,122,1,
43,11,15,8,4,8,1,
44,11,20,122,16,122,1,
45,11,5,8,4,8,1,
46,11,11,16,4,16,1,
47,12,4,16,4,16,1,
48,12,6,4,2,4,1,
49,12,5,8,2,8,1,
50,12,4,4,2,4,1,
51,12,3,8,4,8,1,
52,12,13,16,8,16,1,
53,13,49,244,8,244,1,
54,13,6,4,2,4,1,
55,13,16,16,8,16,1,
56,13,40,122,4,122,1,
57,14,23,122,4,122,1,
58,14,14,16,4,16,1,
59,14,39,64,16,64,1,
60,15,4,244,8,244,1,
61,15,19,256,64,256,1,
62,16,38,72,36,72,1,
63,16,5,122,4,122,1,
64,16,18,122,4,122,1,
65,16,2,8,2,8,1,
66,16,17,16,8,16,1,
67,16,5,8,4,8,1,
68,16,7,8,4,8,1,
69,16,9,8,2,8,1,
70,16,2,8,2,8,1,
71,16,3,16,8,16,1,
72,17,3,8,2,8,1,
73,17,28,72,36,72,1,
74,18,5,4,2,4,1,
75,18,13,122,4,122,1,
76,18,33,4,2,4,1,
77,18,36,122,4,122,1,
78,18,6,122,4,122,1,
79,19,4,8,4,8,1,
80,19,45,72,36,72,1,
81,19,43,244,8,244,1,
82,20,10,32,8,32,1,
83,20,21,122,16,122,1,
84,21,15,122,4,122,1,
85,21,8,16,4,16,1,
86,21,6,16,8,16,1,
87,22,4,16,4,16,1,
88,22,32,256,64,256,1,
89,23,3,32,8,32,1,
90,23,32,122,4,122,1,
91,23,11,16,4,16,1,
92,23,24,122,4,122,1,
93,23,11,32,8,32,1,
94,23,11,8,2,8,1,
95,23,44,244,8,244,1,
96,24,9,8,4,8,1,
97,24,42,64,16,64,1,
98,24,47,122,16,122,1,
99,24,6,4,2,4,1,
100,24,15,8,4,8,1,
101,24,4,16,4,16,1,
102,24,17,32,8,32,1,
103,25,5,4,2,4,1,
104,25,18,72,36,72,1,
105,25,11,8,2,8,1,
106,25,3,4,2,4,1,
107,25,11,16,4,16,1,
108,25,11,16,8,16,1,
109,26,6,16,4,16,1,
110,26,5,16,8,16,1,
111,26,30,192,48,192,1,
112,26,7,8,2,8,1,
113,26,4,32,8,32,1,
114,27,5,8,4,8,1,
115,27,2,8,2,8,1,
116,27,4,8,2,8,1,
117,27,11,16,4,16,1,
118,27,8,4,2,4,1,
119,27,21,32,8,32,1,
120,28,7,8,2,8,1,
