50,230,
VM,I,F,N,CPU,Memory,Links
1,1,1,122,4,122,1,
2,2,2,16,8,16,1,
3,2,2,16,4,16,1,
4,2,2,8,4,8,1,
5,2,2,32,8,32,1,
6,3,3,64,16,64,1,
7,3,3,64,16,64,1,
8,3,3,488,16,488,1,
9,4,4,16,4,16,1,
10,4,4,4,2,4,1,
11,4,4,64,16,64,1,
12,4,4,64,16,64,1,
13,4,4,72,36,72,1,
14,4,4,8,4,8,1,
15,4,4,16,8,16,1,
16,4,4,8,4,8,1,
17,5,50,4,2,4,1,
18,5,22,64,16,64,1,
19,5,50,4,2,4,1,
20,5,50,8,2,8,1,
21,5,50,8,2,8,1,
22,6,6,8,2,8,1,
23,6,6,8,2,8,1,
24,6,6,64,16,64,1,
25,6,6,8,2,8,1,
26,6,6,8,4,8,1,
27,7,7,16,4,16,1,
28,7,7,64,16,64,1,
29,7,7,4,2,4,1,
30,7,7,16,4,16,1,
31,8,40,72,36,72,1,
32,8,32,64,16,64,1,
33,8,30,32,8,32,1,
34,8,40,8,4,8,1,
35,9,9,8,2,8,1,
36,9,9,72,36,72,1,
37,9,9,122,4,122,1,
38,9,9,16,8,16,1,
39,9,9,4,2,4,1,
40,9,9,64,16,64,1,
41,10,10,72,36,72,1,
42,10,10,4,2,4,1,
43,10,10,16,8,16,1,
44,11,3,8,2,8,1,
45,11,3,8,4,8,1,
46,11,3,16,4,16,1,
47,11,3,8,4,8,1,
48,11,3,8,4,8,1,
49,11,11,192,48,192,1,
50,11,3,32,8,32,1,
51,11,3,64,16,64,1,
52,12,12,16,8,16,1,
53,12,12,72,36,72,1,
54,12,28,122,4,122,1,
55,12,28,4,2,4,1,
56,12,30,8,4,8,1,
57,12,49,122,4,122,1,
58,12,49,4,2,4,1,
59,12,17,122,4,122,1,
60,13,13,244,8,244,1,
61,14,20,16,4,16,1,
62,14,14,192,48,192,1,
63,14,20,32,8,32,1,
64,14,34,32,8,32,1,
65,15,15,488,16,488,1,
66,15,32,16,4,16,1,
67,15,15,72,36,72,1,
68,15,15,16,8,16,1,
69,15,15,122,16,122,1,
70,16,16,64,16,64,1,
71,16,16,64,16,64,1,
72,16,16,192,48,192,1,
