30,126,
VM,I,F,N,CPU,Memory,Links
1,1,1,16,4,16,1,
2,1,1,488,16,488,1,
3,1,12,122,16,122,1,
4,2,28,8,2,8,1,
5,2,1,8,4,8,1,
6,2,2,4,2,4,1,
7,2,2,8,4,8,1,
8,2,2,64,16,64,1,
9,2,2,72,36,72,1,
10,2,2,32,8,32,1,
11,2,1,8,4,8,1,
12,2,6,8,2,8,1,
13,2,2,16,8,16,1,
14,2,18,64,16,64,1,
15,3,3,488,16,488,1,
16,4,2,8,2,8,1,
17,4,2,32,8,32,1,
18,4,24,16,8,16,1,
19,4,23,16,8,16,1,
20,5,5,488,16,488,1,
21,6,6,4,2,4,1,
22,6,6,8,4,8,1,
23,6,13,64,16,64,1,
24,6,6,256,64,256,1,
25,6,6,64,16,64,1,
26,7,11,32,8,32,1,
27,7,7,72,36,72,1,
28,7,1,4,2,4,1,
29,8,1,4,2,4,1,
30,8,8,72,36,72,1,
31,8,9,16,4,16,1,
32,8,2,122,4,122,1,
33,9,6,16,8,16,1,
34,9,9,122,4,122,1,
35,9,9,64,16,64,1,
36,9,9,32,8,32,1,
37,10,10,256,64,256,1,
38,10,1,8,4,8,1,
39,10,17,64,16,64,1,
40,10,10,16,8,16,1,
41,11,11,32,8,32,1,
42,11,11,64,16,64,1,
43,11,11,122,4,122,1,
44,12,10,64,16,64,1,
45,12,12,256,64,256,1,
46,12,12,244,8,244,1,
47,12,1,16,8,16,1,
48,13,13,4,2,4,1,
49,13,6,8,2,8,1,
50,13,2,244,8,244,1,
51,13,13,72,36,72,1,
52,13,13,122,4,122,1,
53,14,16,244,8,244,1,
54,15,26,64,16,64,1,
55,15,24,8,4,8,1,
56,15,23,8,2,8,1,
57,15,3,8,2,8,1,
58,16,16,64,16,64,1,
59,16,10,32,8,32,1,
60,16,16,244,8,244,1,
61,16,16,4,2,4,1,
62,16,5,8,4,8,1,
63,16,1,64,16,64,1,
64,16,1,32,8,32,1,
65,16,8,32,8,32,1,
66,16,16,8,2,8,1,
67,16,16,122,4,122,1,
68,16,6,8,2,8,1,
69,17,7,32,8,32,1,
70,17,17,32,8,32,1,
71,17,1,16,4,16,1,
72,17,22,8,2,8,1,
73,17,2,4,2,4,1,
74,18,18,8,4,8,1,
75,18,18,16,4,16,1,
76,18,18,72,36,72,1,
77,18,7,16,8,16,1,
78,18,10,244,8,244,1,
79,18,7,8,4,8,1,
80,19,18,8,2,8,1,
81,19,1,8,4,8,1,
82,19,16,8,2,8,1,
83,19,1,4,2,4,1,
84,19,8,16,4,16,1,
85,19,1,4,2,4,1,
86,19,10,32,8,32,1,
87,20,2,122,4,122,1,
88,20,6,122,4,122,1,
89,21,18,122,16,122,1,
90,21,13,32,8,32,1,
91,21,1,8,4,8,1,
92,21,6,244,8,244,1,
93,21,22,192,48,192,1,
94,21,1,32,8,32,1,
95,22,22,122,4,122,1,
96,22,14,192,48,192,1,
97,22,22,122,4,122,1,
98,23,23,488,16,488,1,
99,24,1,16,4,16,1,
100,24,24,488,16,488,1,
101,25,2,8,2,8,1,
102,25,12,16,4,16,1,
103,25,25,256,64,256,1,
104,25,1,16,4,16,1,
105,25,3,16,4,16,1,
106,25,28,244,8,244,1,
107,25,2,8,2,8,1,
108,25,1,16,4,16,1,
109,26,8,122,4,122,1,
110,26,13,122,4,122,1,
111,26,26,488,16,488,1,
112,27,12,122,16,122,1,
113,28,28,16,4,16,1,
114,28,28,256,64,256,1,
115,28,28,64,16,64,1,
116,28,2,16,4,16,1,
117,28,28,4,2,4,1,
118,29,13,32,8,32,1,
119,29,22,64,16,64,1,
120,29,16,64,16,64,1,
121,29,28,64,16,64,1,
122,30,5,16,8,16,1,
123,30,16,8,4,8,1,
124,30,12,8,2,8,1,
125,30,2,8,2,8,1,
126,30,14,32,8,32,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,112,76,8,768,142,0,
2,112,10,0,768,476,0,
3,78,62,56,512,24,0,
4,28,2,28,128,56,128,
5,78,62,50,512,24,0,
6,112,10,0,768,372,30,
7,56,10,0,256,148,128,
8,56,10,4,256,42,14,
9,56,20,24,256,22,22,
10,112,20,0,768,424,124,
11,56,28,20,256,38,6,
12,112,16,2,768,188,0,
13,78,26,0,512,62,64,
14,56,48,0,256,12,32,
15,28,4,28,128,40,128,
16,112,34,50,768,150,2,
17,28,4,4,128,36,32,
18,78,14,0,512,148,222,
19,28,4,28,128,48,128,
20,56,48,56,256,12,256,
21,112,20,112,768,138,768,
22,78,22,4,512,76,4,
23,78,62,52,512,24,0,
24,78,58,50,512,8,0,
25,112,20,48,768,188,512,
26,112,88,80,768,36,216,
27,28,12,28,128,6,128,
28,112,22,0,768,412,112,
29,56,0,56,256,32,256,
30,28,4,28,128,56,128,
,
,
TREE DATA,
CLASSES:,0.0-0.8,1.0-1.0,
