100,447,
VM,I,F,N,CPU,Memory,Links
1,1,13,8,4,8,1,
2,1,19,32,8,32,1,
3,1,7,122,16,122,1,
4,1,33,64,16,64,1,
5,2,79,32,8,32,1,
6,2,50,256,64,256,1,
7,2,35,122,4,122,1,
8,2,1,8,4,8,1,
9,2,9,32,8,32,1,
10,2,11,16,4,16,1,
11,3,35,122,16,122,1,
12,3,29,32,8,32,1,
13,3,5,4,2,4,1,
14,3,48,122,4,122,1,
15,3,19,16,8,16,1,
16,3,13,8,4,8,1,
17,3,43,64,16,64,1,
18,3,4,122,4,122,1,
19,4,23,32,8,32,1,
20,4,32,64,16,64,1,
21,4,18,122,4,122,1,
22,4,8,64,16,64,1,
23,4,86,256,64,256,1,
24,5,23,244,8,244,1,
25,5,3,16,4,16,1,
26,5,10,8,4,8,1,
27,5,55,122,16,122,1,
28,5,6,8,2,8,1,
29,5,89,16,8,16,1,
30,6,50,32,8,32,1,
31,6,33,32,8,32,1,
32,6,11,122,4,122,1,
33,6,18,8,4,8,1,
34,6,16,32,8,32,1,
35,6,7,122,16,122,1,
36,6,27,244,8,244,1,
37,6,8,4,2,4,1,
38,6,15,16,8,16,1,
39,6,47,122,4,122,1,
40,7,1,16,8,16,1,
41,7,9,8,2,8,1,
42,7,3,4,2,4,1,
43,7,51,72,36,72,1,
44,7,9,4,2,4,1,
45,7,25,4,2,4,1,
46,7,4,122,4,122,1,
47,7,16,72,36,72,1,
48,8,83,192,48,192,1,
49,9,19,32,8,32,1,
50,9,17,8,4,8,1,
51,9,13,16,4,16,1,
52,9,22,16,8,16,1,
53,9,16,32,8,32,1,
54,9,25,122,16,122,1,
55,9,70,122,16,122,1,
56,10,13,64,16,64,1,
57,10,75,192,48,192,1,
58,11,2,8,4,8,1,
59,11,32,192,48,192,1,
60,12,41,8,4,8,1,
61,12,49,16,4,16,1,
62,12,60,192,48,192,1,
63,12,53,122,4,122,1,
64,12,7,64,16,64,1,
65,13,19,32,8,32,1,
66,13,50,244,8,244,1,
67,13,4,32,8,32,1,
68,13,9,16,4,16,1,
69,13,18,32,8,32,1,
70,13,44,244,8,244,1,
71,13,9,8,2,8,1,
72,13,9,4,2,4,1,
73,13,9,16,4,16,1,
74,14,31,122,4,122,1,
75,15,6,16,4,16,1,
76,15,7,16,8,16,1,
77,15,9,16,4,16,1,
78,15,19,16,8,16,1,
79,16,10,16,8,16,1,
80,16,4,8,4,8,1,
81,16,75,256,64,256,1,
82,17,2,8,2,8,1,
83,17,84,16,4,16,1,
84,17,74,16,8,16,1,
85,17,6,8,4,8,1,
86,17,4,16,8,16,1,
87,18,53,256,64,256,1,
88,18,5,8,2,8,1,
89,18,86,16,8,16,1,
90,18,6,16,4,16,1,
91,18,12,16,8,16,1,
92,18,13,122,4,122,1,
93,19,12,16,8,16,1,
94,19,11,72,36,72,1,
95,19,12,8,4,8,1,
96,19,23,8,4,8,1,
97,19,74,488,16,488,1,
98,19,6,4,2,4,1,
99,19,39,32,8,32,1,
100,20,23,32,8,32,1,
101,20,82,8,2,8,1,
102,20,53,32,8,32,1,
103,20,2,32,8,32,1,
104,21,5,16,8,16,1,
105,21,2,16,4,16,1,
106,21,9,8,4,8,1,
107,21,12,16,4,16,1,
