30,134,
VM,I,F,N,CPU,Memory,Links
1,1,5,16,8,16,1,
2,1,4,32,8,32,1,
3,1,12,8,2,8,1,
4,1,28,8,2,8,1,
5,1,5,16,4,16,1,
6,1,8,244,8,244,1,
7,1,12,32,8,32,1,
8,1,1,244,8,244,1,
9,1,2,4,2,4,1,
10,1,23,8,2,8,1,
11,1,26,32,8,32,1,
12,2,6,8,4,8,1,
13,2,18,16,8,16,1,
14,2,25,16,4,16,1,
15,2,6,8,4,8,1,
16,2,21,8,2,8,1,
17,2,9,8,2,8,1,
18,3,21,16,4,16,1,
19,3,5,4,2,4,1,
20,3,27,72,36,72,1,
21,3,12,16,4,16,1,
22,4,1,122,16,122,1,
23,4,3,192,48,192,1,
24,5,20,64,16,64,1,
25,5,9,72,36,72,1,
26,5,26,16,8,16,1,
27,5,4,32,8,32,1,
28,6,16,72,36,72,1,
29,6,18,16,4,16,1,
30,6,5,32,8,32,1,
31,7,19,8,4,8,1,
32,7,7,122,16,122,1,
33,7,2,16,4,16,1,
34,7,29,488,16,488,1,
35,8,28,4,2,4,1,
36,8,8,256,64,256,1,
37,8,25,4,2,4,1,
38,8,7,244,8,244,1,
39,8,24,122,4,122,1,
40,9,19,122,16,122,1,
41,9,7,72,36,72,1,
42,9,21,4,2,4,1,
43,9,21,4,2,4,1,
44,9,12,8,2,8,1,
45,9,14,8,2,8,1,
46,9,23,8,4,8,1,
47,10,10,192,48,192,1,
48,11,26,8,2,8,1,
49,11,24,122,4,122,1,
50,11,13,8,4,8,1,
51,11,20,8,2,8,1,
52,11,26,4,2,4,1,
53,11,6,8,4,8,1,
54,11,16,64,16,64,1,
55,12,19,32,8,32,1,
56,12,23,8,2,8,1,
57,12,9,64,16,64,1,
58,13,5,122,4,122,1,
59,13,21,8,2,8,1,
60,13,25,16,8,16,1,
61,13,13,72,36,72,1,
62,14,14,64,16,64,1,
63,14,18,4,2,4,1,
64,14,7,16,4,16,1,
65,14,23,4,2,4,1,
66,15,25,16,4,16,1,
67,15,5,8,4,8,1,
68,15,17,8,2,8,1,
69,15,27,122,4,122,1,
70,15,4,64,16,64,1,
71,16,23,4,2,4,1,
72,16,22,192,48,192,1,
73,16,11,72,36,72,1,
74,16,16,488,16,488,1,
75,17,19,64,16,64,1,
76,17,6,16,8,16,1,
77,17,11,122,4,122,1,
78,17,15,192,48,192,1,
79,18,23,4,2,4,1,
80,18,20,8,4,8,1,
81,18,2,4,2,4,1,
82,18,20,16,8,16,1,
83,18,26,16,8,16,1,
84,19,30,488,16,488,1,
85,20,26,16,8,16,1,
86,20,19,122,4,122,1,
87,20,2,32,8,32,1,
88,20,8,32,8,32,1,
89,20,8,32,8,32,1,
90,21,20,8,2,8,1,
91,21,23,16,8,16,1,
92,21,2,8,2,8,1,
93,21,18,4,2,4,1,
94,21,18,16,4,16,1,
95,21,5,32,8,32,1,
96,22,7,122,16,122,1,
97,22,12,16,4,16,1,
98,22,28,16,8,16,1,
99,22,27,32,8,32,1,
100,22,6,16,4,16,1,
101,22,23,8,2,8,1,
102,23,5,122,16,122,1,
103,23,4,16,4,16,1,
104,23,5,8,4,8,1,
105,23,17,8,2,8,1,
106,23,6,16,8,16,1,
107,23,23,8,4,8,1,
108,23,24,16,8,16,1,
109,24,1,192,48,192,1,
110,24,24,192,48,192,1,
111,25,17,122,16,122,1,
112,26,24,122,16,122,1,
113,26,2,8,2,8,1,
114,26,21,16,4,16,1,
115,26,20,16,8,16,1,
116,26,23,16,8,16,1,
117,26,19,32,8,32,1,
118,27,4,64,16,64,1,
119,27,27,32,8,32,1,
120,27,27,122,4,122,1,
121,27,21,8,4,8,1,
122,27,9,122,4,122,1,
123,27,17,8,2,8,1,
124,27,28,16,8,16,1,
125,27,4,122,4,122,1,
126,28,6,122,4,122,1,
127,29,29,256,64,256,1,
128,29,14,8,2,8,1,
129,29,1,64,16,64,1,
130,29,25,4,2,4,1,
131,29,26,8,4,8,1,
132,29,23,8,4,8,1,
133,30,30,256,64,256,1,
134,30,17,72,36,72,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,112,52,24,768,124,146,
2,28,4,8,128,64,56,
3,56,10,8,256,148,64,
4,78,14,22,512,198,182,
5,78,10,20,512,328,152,
6,56,8,20,256,136,62,
7,112,72,32,768,134,192,
8,112,32,24,768,138,204,
9,78,14,20,512,286,246,
10,56,8,8,256,64,64,
11,56,22,16,256,34,62,
12,28,2,8,128,24,48,
13,56,6,16,256,38,176,
14,28,4,8,128,40,48,
15,56,26,8,256,38,64,
16,112,10,44,768,12,144,
17,78,2,20,512,118,294,
18,28,4,8,128,80,72,
19,78,62,22,512,24,132,
20,56,20,16,256,22,136,
21,28,2,8,128,44,64,
22,56,14,8,256,46,64,
23,56,10,16,256,62,164,
24,112,16,32,768,384,194,
25,28,12,8,128,6,72,
26,56,10,16,256,46,156,
27,78,28,18,512,18,132,
28,28,24,8,128,6,84,
29,112,20,32,768,420,24,
30,112,12,32,768,440,24,
,
,
TREE DATA,
CLASSES:,0.0-0.8,1.0-1.0,
