50,194,
VM,I,F,N,CPU,Memory,Links
1,1,1,32,8,32,1,
2,1,1,16,4,16,1,
3,1,49,4,2,4,1,
4,1,17,8,4,8,1,
5,1,1,16,8,16,1,
6,2,2,244,8,244,1,
7,3,3,8,4,8,1,
8,3,3,8,4,8,1,
9,3,3,16,4,16,1,
10,3,3,4,2,4,1,
11,3,3,16,8,16,1,
12,3,3,64,16,64,1,
13,3,3,8,2,8,1,
14,3,3,8,2,8,1,
15,3,3,16,8,16,1,
16,4,4,122,4,122,1,
17,5,5,16,8,16,1,
18,5,5,8,4,8,1,
19,5,5,488,16,488,1,
20,6,6,8,4,8,1,
21,6,6,32,8,32,1,
22,6,6,8,4,8,1,
23,6,6,122,4,122,1,
24,6,6,8,4,8,1,
25,6,6,64,16,64,1,
26,7,42,8,2,8,1,
27,7,7,32,8,32,1,
28,7,7,64,16,64,1,
29,8,8,72,36,72,1,
30,8,45,32,8,32,1,
31,8,24,16,4,16,1,
32,9,19,16,4,16,1,
33,9,40,8,4,8,1,
34,9,9,64,16,64,1,
35,10,10,122,4,122,1,
36,11,11,256,64,256,1,
37,11,11,16,8,16,1,
38,11,11,488,16,488,1,
39,12,12,32,8,32,1,
40,12,12,72,36,72,1,
41,12,12,16,8,16,1,
42,13,13,16,4,16,1,
43,13,13,64,16,64,1,
44,13,13,32,8,32,1,
45,14,14,122,4,122,1,
46,15,11,4,2,4,1,
47,15,34,64,16,64,1,
48,15,40,72,36,72,1,
49,15,41,16,8,16,1,
50,15,49,122,16,122,1,
51,15,37,122,4,122,1,
52,15,20,16,4,16,1,
53,15,12,122,4,122,1,
54,16,16,72,36,72,1,
55,16,16,8,4,8,1,
56,16,16,122,16,122,1,
57,17,17,122,4,122,1,
58,17,17,122,4,122,1,
59,18,18,16,4,16,1,
60,18,18,32,8,32,1,
61,18,18,16,8,16,1,
62,18,18,32,8,32,1,
63,19,19,4,2,4,1,
64,19,19,8,4,8,1,
65,19,19,16,8,16,1,
66,19,19,16,4,16,1,
67,19,19,192,48,192,1,
68,20,20,32,8,32,1,
69,20,20,64,16,64,1,
70,20,20,8,2,8,1,
71,20,20,64,16,64,1,
72,20,20,32,8,32,1,
73,20,20,8,4,8,1,
74,20,20,32,8,32,1,
75,20,20,244,8,244,1,
76,21,36,16,4,16,1,
77,21,3,16,4,16,1,
78,21,45,16,8,16,1,
79,21,47,16,4,16,1,
80,21,43,16,4,16,1,
81,22,22,244,8,244,1,
82,23,23,16,4,16,1,
83,23,40,4,2,4,1,
84,23,23,16,8,16,1,
85,23,3,8,2,8,1,
86,23,2,8,4,8,1,
87,23,6,8,2,8,1,
88,23,23,16,4,16,1,
89,24,24,16,8,16,1,
90,24,24,16,4,16,1,
91,24,24,256,64,256,1,
92,24,24,122,16,122,1,
93,25,25,16,4,16,1,
94,25,25,72,36,72,1,
95,25,25,16,8,16,1,
96,25,25,4,2,4,1,
97,25,25,16,4,16,1,
98,25,25,16,8,16,1,
99,25,25,64,16,64,1,
100,26,20,8,4,8,1,
101,26,19,244,8,244,1,
102,26,27,64,16,64,1,
103,26,33,32,8,32,1,
104,26,24,64,16,64,1,
105,27,27,72,36,72,1,
106,27,27,122,16,122,1,
107,27,27,244,8,244,1,
108,28,28,244,8,244,1,
109,29,32,32,8,32,1,
110,29,11,4,2,4,1,
111,29,33,8,2,8,1,
112,29,27,8,2,8,1,
113,29,45,8,2,8,1,
114,29,31,32,8,32,1,
115,30,28,8,4,8,1,
116,30,30,64,16,64,1,
117,30,22,8,4,8,1,
118,31,31,32,8,32,1,
119,31,31,72,36,72,1,
120,31,31,16,4,16,1,
121,32,32,192,48,192,1,
122,33,33,122,4,122,1,
123,33,33,4,2,4,1,
124,33,33,8,4,8,1,
125,33,33,16,4,16,1,
126,33,33,122,16,122,1,
127,33,33,16,8,16,1,
128,33,33,256,64,256,1,
129,34,34,8,4,8,1,
130,34,34,122,4,122,1,
131,34,34,32,8,32,1,
132,34,34,4,2,4,1,
133,34,34,122,16,122,1,
134,34,34,32,8,32,1,
135,34,34,122,16,122,1,
136,35,35,256,64,256,1,
137,36,36,64,16,64,1,
138,36,36,72,36,72,1,
139,37,37,72,36,72,1,
140,37,37,8,2,8,1,
141,37,37,8,2,8,1,
142,37,37,4,2,4,1,
143,37,37,4,2,4,1,
144,37,37,16,8,16,1,
145,38,34,4,2,4,1,
146,38,38,32,8,32,1,
147,38,47,8,4,8,1,
148,38,28,4,2,4,1,
149,38,48,8,2,8,1,
150,38,38,16,8,16,1,
151,39,46,8,2,8,1,
152,39,39,16,8,16,1,
153,39,39,8,4,8,1,
154,39,39,8,4,8,1,
155,39,39,32,8,32,1,
156,40,40,122,16,122,1,
157,40,40,488,16,488,1,
158,40,40,64,16,64,1,
159,41,41,8,2,8,1,
160,41,41,488,16,488,1,
161,42,42,72,36,72,1,
162,42,42,16,4,16,1,
163,42,42,72,36,72,1,
164,43,43,192,48,192,1,
165,44,44,122,4,122,1,
166,45,45,8,2,8,1,
167,45,45,192,48,192,1,
168,45,45,8,2,8,1,
169,45,45,122,4,122,1,
170,45,45,122,4,122,1,
171,46,46,16,4,16,1,
172,46,46,8,2,8,1,
173,46,46,8,2,8,1,
174,46,46,4,2,4,1,
175,46,46,16,4,16,1,
176,46,46,16,4,16,1,
177,46,46,32,8,32,1,
178,47,47,32,8,32,1,
179,47,47,122,4,122,1,
180,47,47,72,36,72,1,
181,48,48,8,4,8,1,
182,48,48,16,8,16,1,
183,48,48,32,8,32,1,
184,48,48,4,2,4,1,
185,48,48,8,4,8,1,
186,49,49,244,8,244,1,
187,49,49,32,8,32,1,
188,49,49,122,16,122,1,
189,49,49,122,4,122,1,
190,49,49,122,4,122,1,
191,50,50,64,16,64,1,
192,50,50,72,36,72,1,
193,50,40,8,4,8,1,
194,50,50,244,8,244,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,28,2,8,128,52,64,
2,56,48,44,256,12,4,
3,56,6,0,256,108,84,
4,28,24,24,128,6,6,
5,78,50,50,512,0,0,
6,56,16,14,256,14,6,
7,28,2,4,128,24,32,
8,56,8,20,256,136,184,
9,28,4,12,128,40,64,
10,28,24,24,128,6,6,
11,112,24,20,768,8,0,
12,56,4,0,256,136,14,
13,28,0,0,128,16,16,
14,28,24,24,128,6,6,
15,112,22,112,768,230,768,
16,56,0,0,256,54,54,
17,56,48,44,256,12,4,
18,28,0,0,128,32,32,
19,78,12,0,512,276,16,
20,78,8,0,512,28,4,
21,28,4,28,128,48,128,
22,56,48,44,256,12,4,
23,28,2,12,128,52,80,
24,112,20,0,768,358,278,
25,78,0,0,512,308,308,
26,78,26,78,512,100,512,
27,78,18,0,512,74,2,
28,56,48,42,256,12,0,
29,28,4,28,128,36,128,
30,28,4,12,128,48,64,
31,56,8,0,256,136,104,
32,56,8,0,256,64,32,
33,112,10,0,768,224,184,
34,78,20,2,512,70,2,
35,78,14,14,512,256,256,
36,56,4,0,256,120,104,
37,56,4,0,256,144,22,
38,28,2,12,128,56,80,
39,28,2,4,128,56,64,
40,112,64,18,768,94,2,
41,78,60,52,512,16,0,
42,78,2,0,512,352,344,
43,56,8,4,256,64,48,
44,28,24,24,128,6,6,
45,78,18,0,512,60,4,
46,28,2,0,128,28,20,
47,56,8,0,256,30,6,
48,28,2,0,128,60,52,
49,112,72,54,768,126,0,
50,78,14,18,512,124,132,
,
,
TREE DATA,
CLASSES:,0.0-0.8,1.0-1.0,
