30,126,
VM,I,F,N,CPU,Memory,Links
1,1,24,16,4,16,1,
2,1,2,8,4,8,1,
3,1,1,256,64,256,1,
4,2,2,64,16,64,1,
5,2,2,8,4,8,1,
6,3,19,16,4,16,1,
7,3,19,16,4,16,1,
8,3,4,64,16,64,1,
9,3,19,4,2,4,1,
10,3,19,16,4,16,1,
11,3,4,8,2,8,1,
12,3,19,8,2,8,1,
13,4,4,8,4,8,1,
14,4,4,122,4,122,1,
15,4,4,16,8,16,1,
16,4,4,16,4,16,1,
17,4,4,244,8,244,1,
18,5,5,4,2,4,1,
19,5,5,8,2,8,1,
20,5,5,72,36,72,1,
21,6,6,16,4,16,1,
22,6,6,16,8,16,1,
23,6,6,32,8,32,1,
24,6,6,16,4,16,1,
25,6,6,8,4,8,1,
26,6,6,122,16,122,1,
27,6,6,16,8,16,1,
28,7,7,8,4,8,1,
29,7,7,4,2,4,1,
30,7,7,16,8,16,1,
31,7,7,16,8,16,1,
32,8,8,244,8,244,1,
33,8,8,122,16,122,1,
34,9,9,16,4,16,1,
35,9,9,16,4,16,1,
36,9,9,192,48,192,1,
37,10,20,192,48,192,1,
38,10,7,16,4,16,1,
39,10,19,8,2,8,1,
40,10,23,32,8,32,1,
41,10,19,122,4,122,1,
42,10,7,4,2,4,1,
43,11,30,32,8,32,1,
44,11,8,122,16,122,1,
45,11,17,8,4,8,1,
46,11,8,16,4,16,1,
47,11,25,16,4,16,1,
48,11,29,4,2,4,1,
49,11,9,4,2,4,1,
50,11,9,122,4,122,1,
51,12,12,32,8,32,1,
52,12,12,122,4,122,1,
53,12,12,256,64,256,1,
54,13,29,64,16,64,1,
55,13,23,16,8,16,1,
56,13,29,8,4,8,1,
57,13,29,4,2,4,1,
58,13,23,16,4,16,1,
59,14,24,4,2,4,1,
60,14,21,64,16,64,1,
61,15,15,8,4,8,1,
62,15,6,122,16,122,1,
63,15,2,8,2,8,1,
64,15,6,32,8,32,1,
65,16,2,4,2,4,1,
66,16,21,64,16,64,1,
67,17,17,32,8,32,1,
68,17,17,244,8,244,1,
69,17,17,16,4,16,1,
70,17,17,72,36,72,1,
71,18,4,32,8,32,1,
72,18,19,122,4,122,1,
73,19,19,4,2,4,1,
74,19,19,122,16,122,1,
75,19,19,16,4,16,1,
76,19,19,122,16,122,1,
77,19,19,192,48,192,1,
78,20,20,32,8,32,1,
79,20,20,16,4,16,1,
80,20,20,4,2,4,1,
81,20,20,244,8,244,1,
82,20,20,16,8,16,1,
83,21,21,64,16,64,1,
84,21,21,32,8,32,1,
85,21,21,122,16,122,1,
86,21,21,4,2,4,1,
87,21,21,122,4,122,1,
88,22,17,122,4,122,1,
89,22,29,32,8,32,1,
90,22,29,16,8,16,1,
91,22,29,8,4,8,1,
92,22,9,32,8,32,1,
93,22,17,16,8,16,1,
94,22,9,16,4,16,1,
95,22,9,16,4,16,1,
96,23,23,16,4,16,1,
97,23,23,4,2,4,1,
98,23,23,16,4,16,1,
99,23,23,192,48,192,1,
100,24,24,8,4,8,1,
101,24,24,32,8,32,1,
102,24,24,8,4,8,1,
103,24,24,16,4,16,1,
104,25,25,16,4,16,1,
105,25,25,8,4,8,1,
106,25,25,16,4,16,1,
107,25,25,16,8,16,1,
108,26,26,16,4,16,1,
109,26,26,32,8,32,1,
110,26,26,256,64,256,1,
111,27,12,244,8,244,1,
112,27,8,8,4,8,1,
113,27,26,72,36,72,1,
114,28,12,8,4,8,1,
115,28,12,64,16,64,1,
116,28,24,8,2,8,1,
117,28,25,16,4,16,1,
118,28,12,32,8,32,1,
119,28,5,122,16,122,1,
120,29,29,8,2,8,1,
121,29,29,122,16,122,1,
122,29,29,244,8,244,1,
123,30,30,32,8,32,1,
124,30,30,8,2,8,1,
125,30,30,8,2,8,1,
126,30,30,32,8,32,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,112,40,48,768,488,512,
2,28,8,0,128,56,36,
3,56,22,56,256,124,256,
4,78,50,24,512,106,2,
5,56,16,0,256,172,50,
6,78,26,2,512,286,132,
7,28,6,0,128,84,64,
8,78,54,30,512,146,0,
9,78,22,0,512,288,98,
10,112,44,112,768,394,768,
11,78,34,78,512,188,512,
12,112,36,0,768,358,10,
13,56,22,56,256,148,256,
14,28,10,28,128,60,128,
15,56,26,52,256,86,248,
16,28,10,28,128,60,128,
17,78,22,6,512,148,2,
18,56,44,56,256,102,256,
19,112,26,0,768,312,0,
20,78,48,0,512,200,8,
21,78,32,0,512,168,40,
22,78,30,78,512,254,512,
23,78,20,0,512,284,220,
24,28,8,0,128,64,36,
25,28,8,0,128,72,40,
26,112,36,0,768,464,392,
27,78,30,78,512,188,512,
28,78,28,78,512,262,512,
29,78,52,8,512,138,2,
30,28,8,0,128,48,16,
,
,
TREE DATA,
CLASSES:,0.0-0.6,1.0-0.8,
