100,480,
VM,I,F,N,CPU,Memory,Links
1,1,13,32,8,32,1,
2,1,1,16,4,16,1,
3,1,39,8,2,8,1,
4,1,22,122,4,122,1,
5,1,1,64,16,64,1,
6,1,3,16,4,16,1,
7,1,98,8,2,8,1,
8,1,1,16,4,16,1,
9,1,1,8,2,8,1,
10,1,1,4,2,4,1,
11,1,69,8,2,8,1,
12,1,52,32,8,32,1,
13,1,5,4,2,4,1,
14,1,50,64,16,64,1,
15,2,30,8,4,8,1,
16,2,52,4,2,4,1,
17,2,7,16,4,16,1,
18,2,5,4,2,4,1,
19,2,77,64,16,64,1,
20,2,46,32,8,32,1,
21,2,52,4,2,4,1,
22,2,78,122,16,122,1,
23,3,76,192,48,192,1,
24,3,3,488,16,488,1,
25,4,55,16,8,16,1,
26,4,86,122,4,122,1,
27,4,1,8,4,8,1,
28,4,52,8,2,8,1,
29,4,46,8,4,8,1,
30,4,39,32,8,32,1,
31,4,5,8,4,8,1,
32,4,4,32,8,32,1,
33,5,5,256,64,256,1,
34,5,5,122,4,122,1,
35,5,10,122,16,122,1,
36,5,5,16,4,16,1,
37,5,5,244,8,244,1,
38,6,38,8,4,8,1,
39,6,6,16,4,16,1,
40,6,6,8,4,8,1,
41,6,11,16,4,16,1,
42,6,61,4,2,4,1,
43,6,6,32,8,32,1,
44,7,50,122,4,122,1,
45,7,11,8,2,8,1,
46,7,1,16,4,16,1,
47,7,42,4,2,4,1,
48,7,7,8,4,8,1,
49,7,7,72,36,72,1,
50,8,90,16,4,16,1,
51,8,75,8,4,8,1,
52,8,11,4,2,4,1,
53,8,37,8,4,8,1,
54,8,8,32,8,32,1,
55,8,15,4,2,4,1,
56,9,34,32,8,32,1,
57,9,40,64,16,64,1,
58,10,31,16,8,16,1,
59,10,72,488,16,488,1,
60,11,11,122,4,122,1,
61,11,1,4,2,4,1,
62,11,11,256,64,256,1,
63,11,58,16,4,16,1,
64,11,80,32,8,32,1,
65,11,90,8,4,8,1,
66,11,11,4,2,4,1,
67,11,58,8,2,8,1,
68,12,44,122,16,122,1,
69,12,12,16,4,16,1,
70,12,20,122,4,122,1,
71,12,93,8,2,8,1,
72,12,36,192,48,192,1,
73,13,3,64,16,64,1,
74,13,1,8,2,8,1,
75,13,26,8,4,8,1,
76,13,13,16,8,16,1,
77,13,80,16,4,16,1,
78,13,55,244,8,244,1,
79,13,80,32,8,32,1,
80,13,39,64,16,64,1,
81,14,12,122,4,122,1,
82,14,17,4,2,4,1,
83,14,14,192,48,192,1,
84,14,61,8,4,8,1,
85,14,14,16,4,16,1,
86,14,16,64,16,64,1,
87,15,15,122,16,122,1,
88,16,16,8,2,8,1,
89,16,16,8,2,8,1,
90,16,16,16,8,16,1,
91,16,31,64,16,64,1,
92,17,17,122,16,122,1,
93,18,18,16,8,16,1,
94,18,18,8,2,8,1,
95,18,10,16,8,16,1,
96,18,18,8,2,8,1,
97,18,18,32,8,32,1,
98,19,11,8,2,8,1,
99,19,19,8,4,8,1,
100,19,19,64,16,64,1,
101,19,70,8,2,8,1,
102,20,20,256,64,256,1,
103,21,3,122,16,122,1,
104,21,1,4,2,4,1,
105,21,84,4,2,4,1,
106,21,71,16,8,16,1,
107,21,62,32,8,32,1,
108,21,42,4,2,4,1,
109,21,38,16,8,16,1,
110,22,22,4,2,4,1,
111,22,22,16,4,16,1,
112,22,22,16,4,16,1,
113,22,12,122,16,122,1,
114,22,64,4,2,4,1,
115,22,36,244,8,244,1,
116,22,6,16,4,16,1,
117,22,22,256,64,256,1,
118,23,84,32,8,32,1,
119,23,12,4,2,4,1,
120,23,31,16,8,16,1,
121,23,10,16,8,16,1,
122,23,23,4,2,4,1,
123,23,84,122,16,122,1,
124,23,28,64,16,64,1,
125,23,23,244,8,244,1,
126,23,23,16,4,16,1,
127,23,42,72,36,72,1,
128,24,30,16,8,16,1,
129,24,100,16,8,16,1,
130,24,72,64,16,64,1,
131,24,72,8,2,8,1,
132,24,71,8,2,8,1,
133,24,23,16,8,16,1,
134,24,90,16,4,16,1,
135,25,25,192,48,192,1,
136,25,25,8,2,8,1,
137,25,25,244,8,244,1,
138,25,25,72,36,72,1,
139,26,26,192,48,192,1,
140,27,60,16,4,16,1,
141,27,27,64,16,64,1,
142,27,46,16,8,16,1,
143,27,55,16,8,16,1,
144,27,93,122,4,122,1,
145,27,61,244,8,244,1,
146,28,28,72,36,72,1,
147,28,69,16,8,16,1,
148,28,98,122,16,122,1,
149,28,50,64,16,64,1,
150,29,3,4,2,4,1,
151,29,23,16,4,16,1,
152,29,80,16,4,16,1,
153,29,80,32,8,32,1,
154,29,23,8,2,8,1,
155,29,3,32,8,32,1,
156,30,30,122,16,122,1,
157,30,23,244,8,244,1,
158,30,30,8,2,8,1,
159,30,30,16,8,16,1,
160,30,30,16,8,16,1,
161,30,12,72,36,72,1,
162,31,31,32,8,32,1,
163,31,31,8,2,8,1,
164,31,31,32,8,32,1,
165,31,71,16,8,16,1,
166,31,50,122,16,122,1,
167,31,31,122,16,122,1,
168,31,65,122,16,122,1,
169,32,7,8,4,8,1,
170,32,23,72,36,72,1,
171,32,80,16,8,16,1,
172,32,90,16,8,16,1,
173,32,23,16,8,16,1,
174,32,32,244,8,244,1,
175,32,64,64,16,64,1,
176,32,96,4,2,4,1,
177,33,68,122,16,122,1,
178,34,10,16,4,16,1,
179,34,34,64,16,64,1,
180,34,34,244,8,244,1,
181,34,34,16,8,16,1,
182,34,34,32,8,32,1,
183,34,9,8,2,8,1,
184,34,98,16,4,16,1,
185,34,34,8,2,8,1,
186,34,37,16,8,16,1,
187,35,35,32,8,32,1,
188,35,35,16,4,16,1,
189,35,46,4,2,4,1,
190,35,52,4,2,4,1,
191,35,14,16,8,16,1,
192,36,88,256,64,256,1,
193,37,37,488,16,488,1,
194,38,38,488,16,488,1,
195,39,1,4,2,4,1,
196,39,69,244,8,244,1,
197,39,39,72,36,72,1,
198,39,44,122,16,122,1,
199,40,23,32,8,32,1,
200,40,40,16,8,16,1,
201,40,40,8,2,8,1,
202,40,26,16,4,16,1,
203,40,40,8,2,8,1,
204,40,30,122,4,122,1,
205,40,40,32,8,32,1,
206,41,31,122,4,122,1,
207,41,22,122,16,122,1,
208,42,66,32,8,32,1,
209,42,9,8,2,8,1,
210,42,70,72,36,72,1,
211,42,42,122,16,122,1,
212,42,42,16,4,16,1,
213,43,43,8,4,8,1,
214,43,55,244,8,244,1,
215,43,23,16,4,16,1,
216,43,43,192,48,192,1,
217,44,44,16,4,16,1,
218,44,44,64,16,64,1,
219,44,42,244,8,244,1,
220,44,9,64,16,64,1,
221,44,13,16,8,16,1,
222,44,44,64,16,64,1,
223,45,1,16,4,16,1,
224,45,70,32,8,32,1,
225,45,45,192,48,192,1,
226,45,45,8,4,8,1,
227,46,46,122,4,122,1,
228,46,64,122,16,122,1,
229,47,32,72,36,72,1,
230,47,47,122,4,122,1,
231,47,45,122,16,122,1,
232,47,47,8,2,8,1,
233,47,19,8,4,8,1,
234,47,47,64,16,64,1,
235,48,46,8,4,8,1,
236,48,84,122,4,122,1,
237,48,46,8,2,8,1,
238,48,66,16,4,16,1,
239,48,46,16,4,16,1,
240,48,43,16,8,16,1,
241,48,46,16,8,16,1,
242,48,34,8,4,8,1,
243,49,49,192,48,192,1,
244,49,49,256,64,256,1,
245,50,97,192,48,192,1,
246,50,97,192,48,192,1,
247,51,51,192,48,192,1,
248,51,51,256,64,256,1,
249,52,52,8,4,8,1,
250,52,5,64,16,64,1,
251,52,12,32,8,32,1,
