30,106,
VM,I,F,N,CPU,Memory,Links
1,1,24,72,36,72,1,
2,2,10,64,16,64,1,
3,2,18,4,2,4,1,
4,3,16,122,16,122,1,
5,3,12,122,16,122,1,
6,3,7,244,8,244,1,
7,4,6,122,16,122,1,
8,4,3,32,8,32,1,
9,4,5,16,8,16,1,
10,4,25,16,4,16,1,
11,4,28,122,16,122,1,
12,5,10,32,8,32,1,
13,5,4,8,2,8,1,
14,5,24,32,8,32,1,
15,6,9,16,4,16,1,
16,6,3,122,4,122,1,
17,6,3,32,8,32,1,
18,7,4,64,16,64,1,
19,7,24,488,16,488,1,
20,8,5,32,8,32,1,
21,8,3,4,2,4,1,
22,8,3,122,4,122,1,
23,8,3,16,8,16,1,
24,8,9,8,4,8,1,
25,8,10,8,2,8,1,
26,8,4,8,2,8,1,
27,8,24,64,16,64,1,
28,8,13,16,4,16,1,
29,9,7,192,48,192,1,
30,10,4,8,2,8,1,
31,10,5,8,4,8,1,
32,10,4,16,8,16,1,
33,10,11,122,16,122,1,
34,11,28,64,16,64,1,
35,11,3,64,16,64,1,
36,11,2,16,8,16,1,
37,12,28,64,16,64,1,
38,12,29,122,4,122,1,
39,13,7,8,2,8,1,
40,13,12,64,16,64,1,
41,14,3,8,4,8,1,
42,14,18,122,16,122,1,
43,14,4,16,4,16,1,
44,14,9,244,8,244,1,
45,14,10,32,8,32,1,
46,14,29,192,48,192,1,
47,15,5,8,2,8,1,
48,15,12,64,16,64,1,
49,16,2,16,8,16,1,
50,16,24,72,36,72,1,
51,17,14,64,16,64,1,
52,17,2,8,4,8,1,
53,17,29,72,36,72,1,
54,17,7,122,4,122,1,
55,17,28,16,4,16,1,
56,17,13,32,8,32,1,
57,18,7,32,8,32,1,
58,18,7,8,2,8,1,
59,18,28,32,8,32,1,
60,19,3,64,16,64,1,
61,19,4,16,4,16,1,
62,20,11,64,16,64,1,
63,20,1,64,16,64,1,
64,20,28,64,16,64,1,
65,20,4,8,4,8,1,
66,20,2,8,2,8,1,
67,20,1,32,8,32,1,
68,20,4,122,16,122,1,
69,21,28,8,4,8,1,
70,21,10,8,2,8,1,
71,21,2,16,4,16,1,
72,21,10,16,4,16,1,
73,21,5,8,2,8,1,
74,21,3,8,4,8,1,
75,22,16,8,2,8,1,
76,22,4,4,2,4,1,
77,22,12,4,2,4,1,
78,22,11,64,16,64,1,
79,23,4,8,2,8,1,
80,23,16,122,16,122,1,
81,23,5,16,4,16,1,
82,23,25,8,2,8,1,
83,23,6,64,16,64,1,
84,23,28,32,8,32,1,
85,24,25,488,16,488,1,
86,25,28,244,8,244,1,
87,25,29,244,8,244,1,
88,26,7,72,36,72,1,
89,27,10,64,16,64,1,
90,27,1,8,2,8,1,
91,28,3,64,16,64,1,
92,28,16,4,2,4,1,
93,28,9,244,8,244,1,
94,28,28,122,16,122,1,
95,28,3,122,16,122,1,
96,29,4,8,4,8,1,
97,29,25,192,48,192,1,
98,29,4,16,4,16,1,
99,29,29,122,16,122,1,
100,30,2,8,2,8,1,
101,30,7,8,4,8,1,
102,30,13,64,16,64,1,
103,30,4,16,8,16,1,
104,30,3,16,4,16,1,
105,30,3,4,2,4,1,
106,30,25,64,16,64,1,
,
Server,Capacity-CPU,Init-CPU,Final-CPU,Capacity-MEM,Init-MEM,Final-MEM,
1,56,20,30,256,184,152,
2,28,10,0,128,60,56,
3,112,72,0,768,280,90,
4,78,26,0,512,204,194,
5,28,10,0,128,56,40,
6,56,40,24,256,86,70,
7,112,80,0,768,216,82,
8,78,28,78,512,234,512,
9,78,30,54,512,320,0,
10,56,26,0,256,102,32,
11,56,16,8,256,112,6,
12,56,36,6,256,70,2,
13,28,10,0,128,56,16,
14,112,24,96,768,154,704,
15,28,10,28,128,56,128,
16,56,12,20,256,168,0,
17,112,40,112,768,454,768,
18,28,10,10,128,56,2,
19,28,8,28,128,48,128,
20,112,34,112,768,406,768,
21,28,8,28,128,64,128,
22,28,6,28,128,48,128,
23,78,30,78,512,262,512,
24,112,96,0,768,280,40,
25,112,96,26,768,280,0,
26,56,20,56,256,184,256,
27,28,10,28,128,56,128,
28,112,54,0,768,212,0,
29,112,40,0,768,430,16,
30,78,26,78,512,332,512,
,
,
TREE DATA,
CLASSES:,0.0-0.6,1.0-0.8,
